Sector,Company Name,Company Number,Region,Year Start Date,Year End Date,Number of Weeks,Number of Months,Currency,Consolidated Account,Turnover,Export,Cost of Sales,Gross Profit,Wages and Salaries,Directors Remuneration,Operating Profit,Depreciation,Audit Fees,Interest Expense,Profit Before Tax,Taxation,Profit After Tax,Dividends,Retained Profit,Tangible Assets,Intangible Assets,Total Fixed Assets,Total Current Assets,Trade Debtors,Stock,Cash,Other Current Assets,Increase in Cash,Misc Current Assets,Total Assets,Total Current Liabilities,Trade Creditors,Bank Borrowings Current,Other Short Term Finance,Misc Current Liabilities,Other Long Term Finance,Total Long Term Liabilities,Bank Overdraft and LTL,Total Liabilities,Net Assets,Working Capital,Issued Share Capital,Revenue Reserves,Other Reserves,Revaluation Reserve,Total Shareholders Equity,Net Worth,Net Cash Flow from Operations,Net Cash Flow Before Financing,Net Cash Flow from Financing,Contingent Liabilities,Capital Employed,Capital Employed,Estimated Turnover AI,EBITDA,,Currrent Ratio,ICR,
Advanced_Manufacturing,CALACHEM LTD,5369235,North West,02/01/2024,31/12/2024,52,12,GBP,N,5945386,,3357163,2588223,3704689,232875,-250098,1258715,70000,,-222888,-217337,-440225,2500000,-2940225,3547176,,3547176,12587546,1730268,,177181,10680097,,,16134722,5535034,927400,,,4607634,,542019,542019,6077053,10057669,7052512,7447983,2609686,,,10057669,10057669,,,,,10599688,55,,1035827,,2.915017686,#DIV/0!,0.187140133
Advanced_Manufacturing,TECNIQ LTD,9377990,East Of England,02/10/2023,30/09/2024,52,12,GBP,N,24095254,106163,16820096,7275158,8082651,378000,4093381,501299,33200,242613,3898808,-655541,3243267,845000,2398267,1850141,,1850141,12182757,3691214,3312234,4127280,1052029,1206115,,14032898,4324011,2115938,270000,234466,1703607,447755,1012315,1282315,5336326,8696572,7858746,500,8695822,250,,8696572,8696572,4254649,1290687,-84572,,9708887,179,,5060967,,3.245342808,0.21,1.170433424
Advanced_Manufacturing,SULZER (ABERDEEN) LIMITED,SC147952,Scotland,02/01/2024,31/12/2024,52,12,GBP,N,27068000,,20267000,6801000,6193000,,2866000,78000,22000,,2866000,-693000,2173000,2388000,-215000,509000,831000,1340000,21293000,12570000,1321000,801000,6601000,,,22633000,13160000,2930000,,2551000,7679000,501000,639000,639000,13799000,8834000,8133000,198000,8636000,,,8834000,8003000,,,,,9473000,92,,3191000,,1.719832827,#DIV/0!,0.242477204
Advanced_Manufacturing,CLEARVIEW INTELLIGENCE GROUP LIMITED,3131861,South East,01/04/2024,31/03/2025,52,12,GBP,Y,13257000,,6641000,6616000,4157000,542000,616000,186000,27000,,751000,14000,765000,350000,415000,903000,16000,919000,6328000,2475000,1032000,2452000,369000,213000,,7247000,3069000,911000,,,2158000,,30000,30000,3099000,4148000,3259000,251000,3895000,2000,,4148000,4132000,1096000,213000,,,4178000,57,,964000,,2.36135549,#DIV/0!,0.31410883
Advanced_Manufacturing,LEYBOLD UK LTD,668677,London,02/01/2024,31/12/2024,52,12,GBP,N,14984451,,8641516,6342935,2128672,186365,1190503,269937,,189638,1122155,-283843,838312,400000,438312,649587,,649587,6135037,2556568,489934,2946964,141571,,,6784624,4717052,71392,,2475343,2170317,372429,381605,381605,5098657,1685967,1417985,300000,1385967,,,1685967,1685967,,,,,2067572,31,,1581730,,1.438318679,0.08,0.335321722
Advanced_Manufacturing,LIBRA SPECIALITY CHEMICALS LIMITED,1009166,Yorkshire And The Humber,02/01/2024,31/12/2024,52,12,GBP,N,39525726,12670681,29524604,10001122,3695222,705892,2695943,906313,19400,193653,2502290,-476335,2025955,2000000,25955,14772100,,14772100,17338911,5375421,3830626,6245173,1887691,,,32111011,6721106,5097643,,,1623463,,5389000,5389000,12110106,20000905,10617805,100,15483071,,4517734,20000905,20000905,,,,,25389905,73,,3602256,,4.777637936,0.19,0.53596179
Advanced_Manufacturing,GRAPHIC PLC,1036230,South West,02/01/2024,31/12/2024,52,12,GBP,N,32229000,10725000,17436000,14793000,9077000,391000,11188000,677000,30000,92000,11096000,-2697000,8399000,9267000,-868000,11409000,52000,11461000,15298000,5249000,3047000,6853000,149000,-2218000,,26759000,7614000,4353000,,1611000,1650000,,,1258000,8872000,17887000,7684000,134000,17480000,273000,,17887000,17835000,9273000,-2218000,,,19145000,197,,9184000,,3.514447071,1.00,1.206199107
Advanced_Manufacturing,ARMOUR PLASTICS LIMITED,1013613,North East,31/03/2024,30/03/2025,52,12,GBP,N,9967400,,6981178,2986222,2303348,329769,811091,240961,8264,,844530,-199199,645331,18660,626671,955796,,955796,7033076,1792505,1951373,3184589,104609,977744,,7988872,2203952,1124674,,1172,1078106,,205514,205514,2409466,5579406,4829124,33816,5424537,121053,,5579406,5579406,1356564,977744,,272259,5784920,69,,1141868,,3.624794006,#DIV/0!,0.518100213
Advanced_Manufacturing,FESTO LIMITED,926749,East Midlands,02/01/2024,31/12/2024,52,12,GBP,N,42607229,194576,25904153,16703076,6756047,16399,3268067,148228,83721,10075,3257992,-860421,2397571,3001500,-603929,1895122,,1895122,8833709,5966647,283295,2011449,572318,,,10728831,4762767,149634,,1543431,3069702,,216448,216448,4979215,5749616,4070942,4500000,1249616,,,5749616,5749616,,,,,5966064,103,,3416295,,2.252646623,3.39,0.71729207
Advanced_Manufacturing,MULTISOL LIMITED,931537,Yorkshire And The Humber,02/01/2024,31/12/2024,52,12,GBP,N,52838000,12289000,43822000,9016000,4642000,717000,1242000,455000,87000,2439000,59685000,-16000,59669000,50198000,9471000,4636000,,4636000,18509000,7487000,3974000,4104000,2944000,,,23145000,8947000,5379000,489000,1369000,1710000,,423000,912000,9370000,13775000,9562000,5000,12964000,806000,,13775000,13775000,,,,,14198000,72,,62579000,,2.586900637,0.26,6.994411535
Clean_Energy,IQA OPERATIONS GROUP LIMITED,SC235142,,02/01/2024,31/12/2024,52,12,GBP,N,34589462,445505,28596690,5992772,11536710,202318,1398363,318020,40000,33110,1761608,-436568,1325040,1064200,260840,1441402,,1441402,20267129,2937732,,4546987,12782410,,,21708531,12310300,872184,,900757,10537359,1080971,1080971,1080971,13391271,8317260,7956829,3304525,3175781,1836954,,8317260,8317260,,,,,9398231,195,,2112738,,1.763444514,0.64,0.1716236
Clean_Energy,RSK ADAS LIMITED,10486936,North West,31/03/2024,06/04/2025,53,12,GBP,N,33980598,2604715,26201572,7779026,17314502,134667,114684,1042241,63200,46764,251884,-600765,-348881,839000,-1187881,2414242,536940,2951182,10484690,3756827,,,6727863,,,13435872,8129726,1435523,390052,1027217,5276934,1032005,1032005,1422057,9161731,4274141,2354964,4000100,-905310,1179351,,4274141,3737201,,,,831936000,5306146,441,,1635223,,1.652684482,0.35,0.201141219
Clean_Energy,LUCION SERVICES LIMITED,6495874,North West,01/04/2024,31/03/2025,52,12,GBP,N,23613000,262000,17156000,6457000,12953000,,751000,306000,67000,45000,706000,56000,762000,4300000,-3538000,11613000,1460000,13073000,7468000,3845000,,248000,3375000,,,20541000,12452000,862000,,8911000,2679000,,188000,188000,12640000,7901000,-4984000,53000,8899000,-1051000,,7901000,6441000,,,,,8089000,308,,1903000,,1.64961452,0.42,0.152826855
Clean_Energy,RSK BIOCENSUS LIMITED,4364279,North West,31/03/2024,06/04/2025,53,12,GBP,N,20744309,275603,13504966,7239343,8288149,443606,2104760,220436,44500,10882,2093878,-708289,1385589,1211000,174589,560756,19296,580052,4672175,946047,5870,135612,3584646,,,5252227,4931412,640454,,1669942,2621016,74926,74926,74926,5006338,245889,-259237,200,245689,,,245889,226593,,,,831936000,320815,180,,2329055,,1.065055404,2.14,0.472289681
Clean_Energy,ALTERNATIVE HEAT LIMITED,NI054205,Northern Ireland,01/04/2024,31/03/2025,52,12,GBP,N,46260984,17501797,33662882,12598102,13739383,3772,547531,475453,7100,,561584,34104,595688,1001500,-405812,3043667,,3043667,21626956,16183989,3589309,570581,1283077,-5103271,,24670623,12792276,2413835,,,10378441,,1695956,1695956,14488232,10182391,8834680,80,10182311,,,10182391,10182391,-3618431,-5103271,,,11878347,278,,1480679,,1.928556185,#DIV/0!,0.115747893
Clean_Energy,BLACKCRAIG WIND FARM (SCOTLAND) LIMITED,SC493311,,02/01/2024,31/12/2024,52,12,GBP,N,25359914,25359914,,25359914,,,14164631,4322893,,3256711,11222410,-1917449,9304961,12880642,-3575681,61717909,,61717909,23783857,2259790,,6311030,15213037,,,85501766,9270587,212541,7205897,,1852149,67296126,73265714,80471611,82536301,2965465,14513270,1,2965464,,,2965465,2965465,,,,,76231179,2,,18802014,,9.22290746,0.06,2.028136298
